price,yes_win_rate,yes_mispricing,yes_n,yes_contracts,no_win_rate,no_mispricing,no_n,no_contracts,implied_prob
25,0.24190197951813958,-0.008098020481860424,590052,93426474.0,0.250246724938098,0.00024672493809801965,935261,165366340.0,0.25
26,0.26223822341090086,0.0022382234109008525,531638,84551774.0,0.2585173775703858,-0.001482622429614222,929339,167460464.0,0.26
27,0.2875478211806177,0.017547821180617706,503604,79421659.0,0.2896642224617828,0.019664222461782788,949827,176169765.0,0.27
28,0.291920116254977,0.011920116254976965,512670,78480597.0,0.3238684678662427,0.043868467866242655,939172,168979757.0,0.28
29,0.2858429145833974,-0.0041570854166025906,475151,78136203.0,0.29645515086814744,0.006455150868147463,941050,171594637.0,0.29
30,0.2945846256213749,-0.005415374378625104,577068,88820175.0,0.3153192793382629,0.015319279338262937,1060733,187860841.0,0.3
31,0.33647373837346467,0.026473738373464673,522500,83625837.0,0.3587677209430833,0.04876772094308329,1087783,189872090.0,0.31
32,0.3366422559091368,0.016642255909136816,516651,82175792.0,0.36325015455482795,0.043250154554827946,1120061,193386065.0,0.32
33,0.33721394279556277,0.0072139427955627555,525443,82457065.0,0.34904839479750427,0.019048394797504253,1100449,191776957.0,0.33
34,0.346542994972346,0.00654299497234595,500671,77987665.0,0.36468499392420184,0.024684993924201815,1138189,200971949.0,0.34
35,0.329065408921261,-0.020934591078738962,578926,90603604.0,0.34705102213917616,-0.0029489778608238204,1306340,225566885.0,0.35
36,0.3549446686592016,-0.005055331340798386,546486,85098968.0,0.3580131706577748,-0.0019868293422251604,1268107,216492756.0,0.36
37,0.3625254115354172,-0.007474588464582821,526682,84495583.0,0.38901585675206735,0.01901585675206735,1277129,223302350.0,0.37
38,0.341369001580335,-0.038630998419665,545899,95022257.0,0.4008680222686059,0.0208680222686059,1324011,244079222.0,0.38
39,0.3779368660825148,-0.012063133917485203,520390,86109689.0,0.40276823748219737,0.012768237482197353,1264491,226333833.0,0.39
40,0.39781353304508693,-0.002186466954913091,628119,99992913.0,0.39938131320523307,-0.0006186867947669539,1410536,241183748.0,0.4
41,0.40050864606003783,-0.009491353939962144,571862,93284513.0,0.4028867605909072,-0.007113239409092753,1427055,256322399.0,0.41
42,0.3943528956279844,-0.02564710437201556,586659,103171247.0,0.3909022156094313,-0.029097784390568704,1452186,267579742.0,0.42
43,0.4079650200192499,-0.022034979980750102,595955,105843626.0,0.4138655070789407,-0.016134492921059285,1452860,269129674.0,0.43
44,0.42695525440081555,-0.013044745599184449,637599,111532622.0,0.4368939755157342,-0.003106024484265779,1510890,278542067.0,0.44
45,0.43081006039720576,-0.019189939602794248,728787,122931846.0,0.45300928487503306,0.003009284875033047,1612509,294035406.0,0.45
46,0.47056400002426707,0.01056400002426705,711180,122140899.0,0.47533973354755704,0.015339733547557022,1642231,296880896.0,0.46
47,0.4611170648828847,-0.008882935117115298,715795,124789242.0,0.48834876296683716,0.018348762966837184,1665486,309829891.0,0.47
48,0.4869927182339899,0.006992718233989892,729200,130462308.0,0.4684340385717198,-0.011565961428280203,1666169,311682032.0,0.48
49,0.48306533643856725,-0.006934663561432741,696512,122417401.0,0.49147456245082133,0.0014745624508213373,1636067,304669524.0,0.49
50,0.5166970887532168,0.01669708875321685,822900,142750454.0,0.5253109801687892,0.025310980168789188,1739296,311565848.0,0.5
51,0.5202873935410979,0.010287393541097867,703838,121085811.0,0.5332463186252219,0.023246318625221862,1716639,305198212.0,0.51
52,0.5227966868181897,0.0027966868181896753,651126,110791626.0,0.5285595426149825,0.008559542614982485,1882181,319251909.0,0.52
53,0.5408796454903746,0.010879645490374568,600326,103910747.0,0.5454377836267607,0.015437783626760626,1713831,288816409.0,0.53
54,0.538942868358733,-0.001057131641267084,550033,93721743.0,0.5487028461363183,0.00870284613631822,1689811,285012912.0,0.54
55,0.5858373098559372,0.03583730985593714,574027,97798807.0,0.5780184357007496,0.028018435700749578,1643343,273003455.0,0.55
56,0.5845193717710611,0.024519371771061005,512816,85486479.0,0.6045496685368793,0.04454966853687925,1591743,265024054.0,0.56
57,0.6162603579347006,0.046260357934700624,465985,83484669.0,0.633758176096134,0.0637581760961341,1519918,264450780.0,0.57
58,0.6221439498741532,0.042143949874153264,453016,77549453.0,0.6259890935344874,0.045989093534487435,1480545,245837847.0,0.58
59,0.6194051308476604,0.029405130847660388,432787,72440233.0,0.6146091410989105,0.024609141098910547,1408018,229834730.0,0.59
60,0.632836181628395,0.03283618162839497,515409,87136045.0,0.617797114560777,0.01779711456077704,1569647,257360056.0,0.6
61,0.6374133397643169,0.027413339764316924,450355,74742325.0,0.6313743972065405,0.021374397206540552,1581079,253564878.0,0.61
62,0.6661729450466055,0.04617294504660552,432304,78139850.0,0.6417752890159821,0.021775289015982136,1523367,248306251.0,0.62
63,0.6481626780453105,0.018162678045310465,414426,67847336.0,0.6410870904746253,0.011087090474625305,1511189,242109784.0,0.63
64,0.6511279685808921,0.011127968580892045,401595,68794824.0,0.6642122428919729,0.02421224289197288,1483068,247007603.0,0.64
65,0.6455977966102916,-0.004402203389708426,439949,74933998.0,0.648096751981334,-0.0019032480186660372,1456032,237968460.0,0.65
66,0.6509231262074022,-0.009076873792597806,412628,69093586.0,0.6450731203566564,-0.014926879643343605,1461936,236493376.0,0.66
67,0.6643532526620849,-0.005646747337915148,387715,64846730.0,0.630588819902359,-0.039411180097640997,1445323,235898548.0,0.67
68,0.674660399271605,-0.005339600728395011,386118,64148714.0,0.6426515010906413,-0.03734849890935876,1463875,240383352.0,0.68
69,0.6940026223892869,0.004002622389286947,379427,64972047.0,0.7033509545382098,0.013350954538209892,1516134,248267170.0,0.69
70,0.6821938917191286,-0.01780610828087137,432311,72068297.0,0.7084956069901664,0.008495606990166493,1549906,249567618.0,0.7
71,0.7015656073532437,-0.008434392646756272,376452,62289245.0,0.723315163400832,0.013315163400832053,1470806,234714319.0,0.71
72,0.7250187839452285,0.005018783945228478,378660,64985017.0,0.737136245180595,0.017136245180594978,1480613,241646008.0,0.72
73,0.7458682083870055,0.015868208387005533,359952,61956416.0,0.7572455318655092,0.027245531865509265,1489083,243922604.0,0.73
74,0.7617219712402244,0.021721971240224458,345257,58496006.0,0.7477630587301732,0.0077630587301732445,1379306,228251634.0,0.74
75,0.7368974938702361,-0.013102506129763936,391957,67195084.0,0.7468021210423652,-0.003197878957634792,1447650,240441402.0,0.75
76,0.7750860148882283,0.01508601488822825,356338,59231897.0,0.7757481367819816,0.015748136781981614,1402849,231797753.0,0.76
77,0.7820363196011655,0.012036319601165468,352768,60186564.0,0.7754258383461241,0.00542583834612409,1424613,235998944.0,0.77
78,0.7756131226435342,-0.0043868773564658126,350352,59877539.0,0.7707317233450671,-0.009268276654932905,1367137,227650479.0,0.78
79,0.8016721881880291,0.011672188188029065,342286,59529185.0,0.7807635976977844,-0.009236402302215674,1338532,225005681.0,0.79
80,0.807879049657659,0.007879049657658954,401135,71496846.0,0.8086638712720394,0.00866387127203938,1402427,231632412.0,0.8
81,0.8280084732058046,0.018008473205804565,359290,60353072.0,0.8309801978399728,0.020980197839972736,1379284,231132462.0,0.81
82,0.8445786799884489,0.02457867998844898,358353,62636664.0,0.8418898461205906,0.02188984612059064,1429389,241893832.0,0.82
83,0.8499714667531663,0.0199714667531663,357254,62933602.0,0.8327071964752436,0.002707196475243645,1448335,247461075.0,0.83
84,0.8498885400573403,0.0098885400573403,347814,62024525.0,0.8529356984926083,0.012935698492608338,1390272,248830543.0,0.84
85,0.8629477240592128,0.01294772405921285,398390,71716299.0,0.8679944338989255,0.01799443389892552,1435916,256329517.0,0.85
86,0.873518637033545,0.013518637033545056,374844,65673810.0,0.8730158070425645,0.013015807042564553,1414537,255514590.0,0.86
87,0.8850023550230686,0.01500235502306857,358482,66147972.0,0.8876668795556586,0.0176668795556586,1387487,255994135.0,0.87
88,0.8898546793093768,0.00985467930937678,386142,69508409.0,0.8983083219808273,0.018308321980827325,1399795,267863030.0,0.88
89,0.9003333449596556,0.010333344959655544,379156,67576543.0,0.9088087960319698,0.018808796031969832,1390045,276933782.0,0.89
90,0.9122369627149193,0.012236962714919253,453374,87103526.0,0.9163765735232842,0.016376573523284144,1531091,307123196.0,0.9
91,0.9231672030997378,0.013167203099737734,425059,78710658.0,0.9196719637653223,0.009671963765322311,1540914,311175502.0,0.91
92,0.9322737503796602,0.012273750379660164,439093,84272716.0,0.9341248951006729,0.01412489510067283,1566467,335423982.0,0.92
93,0.9467585063710178,0.016758506371017723,439590,87216599.0,0.9480218558913017,0.018021855891301675,1565398,362793715.0,0.93
94,0.9545082980908252,0.014508298090825211,449335,91464593.0,0.9631067175700094,0.023106717570009483,1605815,397587773.0,0.94
95,0.9614092557389099,0.01140925573890994,496386,103362531.0,0.9687307898242562,0.018730789824256244,1643997,429712037.0,0.95
96,0.970946545439352,0.010946545439352029,496608,113948687.0,0.9773558751769218,0.01735587517692183,1662971,503119334.0,0.96
97,0.9838372319081815,0.013837231908181535,606163,179645775.0,0.9835293051143985,0.013529305114398538,1731148,632567604.0,0.97
98,0.9832254656448368,0.0032254656448368335,506520,148592381.0,0.990791414776048,0.010791414776048058,1649328,819282530.0,0.98
99,0.9919437626492347,0.0019437626492346816,2050064,701960947.0,0.9963058624450435,0.0063058624450434975,2865152,2145002692.0,0.99
